,,,EleD_01,HydD1,EleD_02,EleD_03,EleD_04,EleD_05,EleD_06,EleD_07,EleD_08,EleD_09,EleD_10
period1,sc01,t0091, 0.230840718242889 ,, 0.320515489481967 , 0.601079110631832 , 3.84643264706826 , 0.689115849846107 , 0.269778315929071 , 5.82092541659344 , 0.260308786860222 , 3.87571942297143 , 0.237935642365676 
period1,sc01,t0092, 0.316367522932394 ,, 0.216358784404673 , 0.40843597597918 , 3.9799264855726 , 0.235223925274712 , 4.24142425653899 , 3.33631677687095 , 0.250085992805802 , 3.8124159055139 , 0.370047119659256 
period1,sc01,t0093, 0.412748249015538 ,, 0.492274840893253 , 0.572183238977517 , 0.222271406955975 , 0.597230834572808 , 5.95413367393448 , 3.67889008976743 , 4.24113863727631 , 0.556131269503679 , 0.254271922615216 
period1,sc01,t0094, 0.563382211583887 ,, 0.310010542042869 , 0.530095442558758 , 0.219923697374336 , 3.29464454569643 , 0.253063393830719 , 0.258374629512987 , 0.235543881785053 , 3.46169735002224 , 0.259625588202401 
period1,sc01,t0095, 0.296265001179037 ,, 0.31234032361101 , 0.48212699908991 , 0.470413464444033 , 3.36845771066587 , 3.52614774434123 , 0.568574376910424 , 0.255371920585277 , 0.410508053198791 , 0.241708017241365 
period1,sc01,t0096, 0.232587320435864 ,, 0.215779120792228 , 0.239694108669477 , 0.212523724143706 , 0.227259263835002 , 3.47404467641829 , 0.2598921725392 , 3.46107283339488 , 0.268423296648893 , 3.44203796255496 
period1,sc01,t0097, 0.213295095909839 ,, 0.216141616231041 , 0.215024935613861 , 0.222789269573723 , 0.241215794266713 , 0.263238575439592 , 0.272565114625114 , 3.72284022783854 , 0.256917995809478 , 0.234206026712594 
period1,sc01,t0098, 0.212010057872547 ,, 0.221690970665247 , 0.205038059396945 , 0.220899392977627 , 0.209891207878347 , 3.73393833007488 , 0.259459248475029 , 3.49090625954257 , 3.84163485729749 , 0.220199981065754 
period1,sc01,t0099, 0.203546338000649 ,, 0.234378577921818 , 0.209095373893181 , 0.211456109998769 , 0.236581768254023 , 3.93365445964258 , 0.251730462276555 , 0.248986621531824 , 0.249763666187098 , 0.246850098134069 
period1,sc01,t0100, 0.207728311145311 ,, 0.20639813115759 , 0.214452130056258 , 0.209685820484137 , 0.210720340025954 , 0.272730912018579 , 3.48382638525948 , 0.259956182030851 , 0.23747779931813 , 3.19311935061478 
